km5cls,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,91.61769819073274,93.3071673978221,9.550756818928587,9.35173945699939,9.682498136958802,9.691919446022585,9.487969294606303,9.35039582401892
1,206.52468490732562,90.60622105298323,9.33366170563214,9.171312664632174,9.472334764059395,9.441068057060544,9.741216004378687,9.014275015550576
2,64.56881198016204,93.41127807626063,9.55654227272515,9.362472729027102,9.724738219954272,9.732396754442787,9.396246210506566,9.41824623605846
3,120.91546760483511,93.73508145660873,9.628120577006468,9.406159009386181,9.695018151264582,9.712660049649253,9.648656231848907,9.367526756881224
4,148.4081541268819,91.40051840755156,9.424210838256844,9.23345000420015,9.559908623377108,9.557718400084624,9.653603185270224,9.1445391811883
